id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US3503,3503,New Mexico,3,ta-ordinal-rd-m,democrat,https://en.wikipedia.org/wiki/New_Mexico%27s_3rd_congressional_district,Ben Ray Luján,https://upload.wikimedia.org/wikipedia/commons/b/b1/BenLujan2016_%28cropped%29.jpg,535050.13
5001500US3601,3601,New York,1,ta-ordinal-st-m,republican,https://en.wikipedia.org/wiki/New_York%27s_1st_congressional_district,Lee Zeldin,https://upload.wikimedia.org/wikipedia/commons/8/81/Lee_Zeldin_new_official_portrait_%28cropped%29.jpg,8729.91
5001500US3602,3602,New York,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/New_York%27s_2nd_congressional_district,Peter T. King,https://upload.wikimedia.org/wikipedia/commons/e/e9/Peter_T._King%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,71354.08
5001500US3603,3603,New York,3,ta-ordinal-rd-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_3rd_congressional_district,Thomas Suozzi,https://upload.wikimedia.org/wikipedia/commons/7/7a/Thomas_Suozzi_official_photo_%28cropped%29.jpg,125648689.53999999
5001500US3604,3604,New York,4,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_4th_congressional_district,Kathleen Rice,https://upload.wikimedia.org/wikipedia/commons/b/bc/Kathleen_Rice_official_photo_%28cropped%29.jpg,636848.8700000001
5001500US3605,3605,New York,5,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_5th_congressional_district,Gregory Meeks,https://upload.wikimedia.org/wikipedia/commons/3/3a/Gregory_Meeks%2C_Official_Photo_%28cropped%29.jpg,6457344.82
5001500US3606,3606,New York,6,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_6th_congressional_district,Grace Meng,https://upload.wikimedia.org/wikipedia/commons/c/c5/Grace_Meng_Official_Congressional_Photo_%28cropped%29.jpg,23260309.23
5001500US3607,3607,New York,7,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_7th_congressional_district,Nydia Velázquez,https://upload.wikimedia.org/wikipedia/commons/e/e9/Nydia_Vel%C3%A1zquez_official_photo_%28cropped%29.jpg,216252.77
5001500US3608,3608,New York,8,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_8th_congressional_district,Hakeem Jeffries,https://upload.wikimedia.org/wikipedia/commons/8/83/Hakeem_Jeffries_official_portrait_%28cropped%29.jpg,11959334.129999999
5001500US3609,3609,New York,9,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_9th_congressional_district,Yvette Clarke,https://upload.wikimedia.org/wikipedia/commons/2/2f/Yvette_Clarke_official_photo_%28cropped%29.jpg,0
5001500US3610,3610,New York,10,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_10th_congressional_district,Jerrold Nadler,https://upload.wikimedia.org/wikipedia/commons/d/d9/Jerrold_Nadler_official_photo_%28cropped%29.jpg,2284888.0700000003
5001500US3611,3611,New York,11,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_York%27s_11th_congressional_district,Dan Donovan,https://upload.wikimedia.org/wikipedia/commons/b/b2/Dan_Donovan_official_photo_%28cropped%29.jpg,51785.4
5001500US3612,3612,New York,12,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_12th_congressional_district,Carolyn Maloney,https://upload.wikimedia.org/wikipedia/commons/5/50/Carolyn_Maloney_official_photo_%28cropped%29.jpg,19401829.050000004
5001500US3613,3613,New York,13,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_13th_congressional_district,Adriano Espaillat,https://upload.wikimedia.org/wikipedia/commons/0/02/Adriano_Espaillat_115th_Congress_photo_%28cropped%29.jpg,0
5001500US3614,3614,New York,14,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_14th_congressional_district,Joseph Crowley,https://upload.wikimedia.org/wikipedia/commons/e/ed/Crowley114_%28cropped%29.jpg,0
5001500US3615,3615,New York,15,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_15th_congressional_district,José E. Serrano,https://upload.wikimedia.org/wikipedia/commons/4/4c/Josieserrano.jpeg,0
5001500US3616,3616,New York,16,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_16th_congressional_district,Eliot Engel,https://upload.wikimedia.org/wikipedia/commons/2/2f/Eliot_Engel%2C_official_photo_portrait_%28cropped%29.jpg,0
5001500US3617,3617,New York,17,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_17th_congressional_district,Nita Lowey,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rep_Nita_Lowey_%28cropped%29.jpg,958222.2100000001
5001500US3618,3618,New York,18,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_18th_congressional_district,Sean Patrick Maloney,https://upload.wikimedia.org/wikipedia/commons/d/de/Congressman_Maloney_official_%28cropped%29.jpg,1877107.86
