story,lowercase,count
01: The Girl Who Raised Pigeons,dutifully,1
01: The Girl Who Raised Pigeons,eager,1
01: The Girl Who Raised Pigeons,ear,1
01: The Girl Who Raised Pigeons,early,1
01: The Girl Who Raised Pigeons,earshot,1
01: The Girl Who Raised Pigeons,earth,1
01: The Girl Who Raised Pigeons,east,2
01: The Girl Who Raised Pigeons,easy,2
01: The Girl Who Raised Pigeons,eaten,1
01: The Girl Who Raised Pigeons,echoed,1
01: The Girl Who Raised Pigeons,edge,2
01: The Girl Who Raised Pigeons,edged,1
01: The Girl Who Raised Pigeons,effort,1
01: The Girl Who Raised Pigeons,eggs,1
01: The Girl Who Raised Pigeons,eight,2
01: The Girl Who Raised Pigeons,either,3
01: The Girl Who Raised Pigeons,elected,1
01: The Girl Who Raised Pigeons,electric,1
01: The Girl Who Raised Pigeons,eleven,1
01: The Girl Who Raised Pigeons,else,4
01: The Girl Who Raised Pigeons,em,11
01: The Girl Who Raised Pigeons,emptied,1
01: The Girl Who Raised Pigeons,empty,3
01: The Girl Who Raised Pigeons,end,3
01: The Girl Who Raised Pigeons,enjoyed,3
01: The Girl Who Raised Pigeons,enjoyment,1
01: The Girl Who Raised Pigeons,enormous,2
01: The Girl Who Raised Pigeons,enough,9
01: The Girl Who Raised Pigeons,entered,1
01: The Girl Who Raised Pigeons,entire,3
01: The Girl Who Raised Pigeons,episode,1
01: The Girl Who Raised Pigeons,essence,1
01: The Girl Who Raised Pigeons,esso,1
01: The Girl Who Raised Pigeons,etta,7
01: The Girl Who Raised Pigeons,euisj,1
01: The Girl Who Raised Pigeons,even,16
01: The Girl Who Raised Pigeons,evening,4
01: The Girl Who Raised Pigeons,ever,5
01: The Girl Who Raised Pigeons,every,3
01: The Girl Who Raised Pigeons,everything,8
01: The Girl Who Raised Pigeons,evil,1
01: The Girl Who Raised Pigeons,excitement,1
01: The Girl Who Raised Pigeons,expectin,1
01: The Girl Who Raised Pigeons,expedition,1
01: The Girl Who Raised Pigeons,expelled,1
01: The Girl Who Raised Pigeons,experience,1
01: The Girl Who Raised Pigeons,explain,2
01: The Girl Who Raised Pigeons,explained,1
01: The Girl Who Raised Pigeons,explanation,1
01: The Girl Who Raised Pigeons,explanations,1
01: The Girl Who Raised Pigeons,extended,1
01: The Girl Who Raised Pigeons,extent,1
01: The Girl Who Raised Pigeons,eye,3
01: The Girl Who Raised Pigeons,eyes,4
01: The Girl Who Raised Pigeons,face,12
01: The Girl Who Raised Pigeons,faced,1
01: The Girl Who Raised Pigeons,facing,1
01: The Girl Who Raised Pigeons,fact,4
01: The Girl Who Raised Pigeons,fall,2
01: The Girl Who Raised Pigeons,falling,1
01: The Girl Who Raised Pigeons,families,1
01: The Girl Who Raised Pigeons,family,3
01: The Girl Who Raised Pigeons,far,9
01: The Girl Who Raised Pigeons,farmers,1
01: The Girl Who Raised Pigeons,farther,3
01: The Girl Who Raised Pigeons,farthest,2
01: The Girl Who Raised Pigeons,fascinated,1
01: The Girl Who Raised Pigeons,fast,2
01: The Girl Who Raised Pigeons,father,15
01: The Girl Who Raised Pigeons,favorite,1
01: The Girl Who Raised Pigeons,fchere,1
01: The Girl Who Raised Pigeons,fconzaga,1
